2025-02-10 17:09:47,373 - INFO - Logging to another terminal in Windows!
2025-02-10 17:10:12,481 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,531 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,581 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,631 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,681 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,732 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,782 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,831 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,881 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,931 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,981 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:13,031 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:13,083 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:13,131 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:13,181 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:13,232 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:13,281 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:13,331 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:13,381 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:13,431 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:13,481 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:13,531 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:13,581 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:13,631 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:13,680 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:13,732 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:13,782 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:13,831 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:13,882 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:13,931 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:13,981 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,031 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,081 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,131 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,182 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,232 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,282 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,332 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,430 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,466 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
